N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
26,카카오뱅크,"28,100",650,+2.37%,"5,000","133,957","476,714",13.56,"3,505,600",55.98,4.91,
27,LG,"80,400",800,+1.01%,"5,000","126,470","157,301",36.33,"132,544",5.86,12.36,
28,고려아연,"602,000","2,000",-0.33%,"5,000","119,576","19,863",22.91,"51,262",15.73,11.07,
29,LG생활건강,"722,000","43,000",+6.33%,"5,000","112,763","15,618",36.27,"107,719",26.51,16.65,
30,SK텔레콤,"50,000",200,-0.40%,100,"109,417","218,833",46.05,"334,256",11.57,13.63,
31,HMM,"22,050","1,200",+5.76%,"5,000","107,833","489,039",9.53,"2,292,922",0.94,88.62,
32,삼성전기,"138,000","1,500",+1.10%,"5,000","103,077","74,694",27.91,"322,124",11.23,14.29,
33,현대중공업,"116,000","1,500",-1.28%,"5,000","102,977","88,773",6.36,"143,234",-14.50,-14.87,
34,엔씨소프트,"468,000","2,000",+0.43%,500,"102,745","21,954",43.76,"98,850",17.38,12.62,
35,두산에너빌리티,"16,000",50,+0.31%,"5,000","102,129","638,308",11.72,"2,255,374",320.00,10.67,
36,삼성에스디에스,"127,500","1,500",+1.19%,500,"98,657","77,378",13.84,"78,563",10.28,8.80,
37,KT,"37,700",100,+0.27%,"5,000","98,439","261,112",43.56,"688,171",6.91,9.36,
38,삼성화재,"207,000","2,500",+1.22%,500,"98,066","47,375",50.19,"79,700",9.04,7.09,
39,대한항공,"26,050",50,+0.19%,"5,000","95,921","368,221",16.16,"1,284,161",5.19,11.60,
40,S-Oil,"84,400","1,700",+2.06%,"2,500","95,020","112,583",79.90,"350,913",4.55,21.76,
41,우리금융지주,"12,950",400,+3.19%,"5,000","94,284","728,061",40.23,"2,640,630",3.09,10.59,
42,한화솔루션,"46,950","1,000",-2.09%,"5,000","89,805","191,278",25.06,"1,488,717",30.87,8.79,
43,크래프톤,"180,500","1,000",+0.56%,100,"88,575","49,072",29.27,"249,244",13.17,17.86,
44,카카오페이,"66,100","2,800",+4.42%,500,"87,888","132,962",42.85,"2,304,552",-333.84,-2.45,
45,기업은행,"11,050",200,+1.84%,"5,000","82,245","744,301",13.78,"1,089,707",3.37,9.21,
46,아모레퍼시픽,"139,500","4,000",+2.95%,500,"81,597","58,493",24.87,"358,583",140.91,4.20,
47,LG이노텍,"286,500","4,500",+1.60%,"5,000","67,806","23,667",24.00,"217,298",6.53,30.94,
48,현대글로비스,"173,000","4,000",+2.37%,500,"64,875","37,500",47.47,"72,294",5.97,14.41,
49,하이브,"156,500","11,500",+7.93%,500,"64,718","41,353",14.68,"402,171",23.65,6.83,
50,롯데케미칼,"186,000","10,000",-5.10%,"5,000","63,752","34,275",26.03,"184,294",28.94,9.87,
51,SK바이오사이언스,"82,900",900,-1.07%,500,"63,654","76,784",4.74,"132,974",22.80,38.08,
52,F&F,"150,500","4,000",-2.59%,100,"57,652","38,307",12.67,"160,755",14.23,N/A,
53,SK바이오팜,"72,900","1,400",+1.96%,500,"57,090","78,313",6.54,"74,370",-117.77,15.75,
54,CJ제일제당,"378,500","6,500",+1.75%,"5,000","56,980","15,054",24.35,"45,016",9.30,10.76,
55,KODEX 200,"31,230",360,+1.17%,0,"53,997","172,900",11.56,"4,021,136",N/A,N/A,
56,강원랜드,"24,650",0,0.00%,500,"52,736","213,940",22.98,"235,192",55.27,-0.33,
57,LG유플러스,"12,050",150,+1.26%,"5,000","52,612","436,611",38.02,"456,631",8.82,9.47,
58,한국조선해양,"73,600",800,+1.10%,"5,000","52,089","70,773",20.28,"138,839",-8.14,-8.95,
59,SK스퀘어,"35,900",300,+0.84%,100,"50,787","141,468",41.84,"354,644",3.10,N/A,
60,메리츠화재,"44,400",50,+0.11%,500,"50,520","113,783",10.61,"130,516",5.89,26.12,
61,HD현대,"63,800",500,+0.79%,"1,000","50,398","78,993",17.97,"121,869",4.48,-1.99,
62,LG디스플레이,"13,950",200,+1.45%,"5,000","49,915","357,816",18.78,"1,073,476",-5.00,9.68,
63,메리츠금융지주,"36,750",450,-1.21%,500,"46,883","127,572",5.16,"534,871",4.45,22.33,
64,오리온,"118,000","2,500",+2.16%,500,"46,653","39,536",36.81,"111,725",15.37,12.75,
65,한온시스템,"8,620",70,-0.81%,100,"46,014","533,800",16.54,"571,254",30.14,13.83,
66,맥쿼리인프라,"11,300",0,0.00%,0,"45,748","404,846",13.58,"656,856",N/A,N/A,
67,삼성중공업,"5,140",50,+0.98%,"1,000","45,232","880,000",16.05,"2,063,132",-6.39,-36.89,
68,삼성엔지니어링,"22,850",300,-1.30%,"5,000","44,786","196,000",41.45,"743,462",9.28,20.67,
69,한국항공우주,"45,900",250,-0.54%,"5,000","44,741","97,475",25.97,"500,541",34.54,5.19,
70,DB손해보험,"63,100","2,100",+3.44%,500,"44,675","70,800",43.15,"153,239",4.54,13.38,
71,SK아이이테크놀로지,"62,600",600,-0.95%,"1,000","44,632","71,298",7.67,"374,396",-92.74,5.57,
72,현대제철,"33,100","1,500",+4.75%,"5,000","44,171","133,446",21.96,"598,062",2.71,8.54,
73,코웨이,"58,900","1,200",+2.08%,500,"43,468","73,800",61.43,"100,119",9.27,27.41,
74,현대건설,"38,600",50,+0.13%,"5,000","42,983","111,356",24.51,"349,779",6.47,5.89,
75,넷마블,"50,000","1,900",-3.66%,100,"42,977","85,954",22.94,"552,224",-14.39,4.29,
76,유한양행,"58,500","1,200",-2.01%,"1,000","42,840","73,231",20.00,"237,447",58.33,5.45,
77,GS,"45,900",550,+1.21%,"5,000","42,648","92,915",25.50,"85,484",1.96,15.55,
78,금호석유,"142,000",0,0.00%,"5,000","41,626","29,314",21.58,"42,761",4.04,47.76,
79,한국타이어앤테크놀로지,"33,300",500,+1.52%,500,"41,250","123,875",36.07,"211,075",5.67,7.69,
80,미래에셋증권,"6,460",130,+2.05%,"5,000","39,749","615,316",12.79,"635,392",6.90,11.66,
81,삼성카드,"32,500",100,+0.31%,"5,000","37,654","115,859",6.35,"64,895",6.43,7.53,
82,SKC,"98,100","7,400",-7.01%,"5,000","37,149","37,868",14.96,"474,076",27.60,11.60,
83,TIGER CD금리투자KIS(합성),"51,570",15,+0.03%,0,"36,829","71,416",0.00,"207,912",N/A,N/A,
84,BGF리테일,"205,000","1,500",+0.74%,"1,000","35,432","17,284",32.90,"34,697",18.81,19.61,
85,두산밥캣,"35,300",800,+2.32%,500,"35,388","100,249",29.01,"448,313",7.32,9.19,
86,메리츠증권,"5,700",50,-0.87%,"1,000","35,057","615,041",14.69,"1,516,633",4.75,15.77,
87,롯데지주,"32,900",300,+0.92%,200,"34,515","104,909",9.82,"177,719",19.70,4.61,
88,에스디바이오센서,"32,850",50,+0.15%,500,"34,203","104,117",14.79,"185,466",2.48,72.47,
89,한화에어로스페이스,"66,300",200,-0.30%,"5,000","33,568","50,630",22.11,"529,437",18.15,9.21,
90,현대미포조선,"83,700",500,+0.60%,"5,000","33,432","39,942",20.53,"169,005",124.18,-7.11,
91,한미약품,"269,500","8,500",+3.26%,"2,500","33,197","12,318",16.13,"37,156",41.09,8.75,
92,한국금융지주,"58,500","1,400",+2.45%,"5,000","32,600","55,726",35.83,"129,577",4.10,27.12,
93,NH투자증권,"9,690",280,+2.98%,"5,000","32,138","331,666",12.74,"640,321",7.67,14.77,
94,한국가스공사,"34,550",900,+2.67%,"5,000","31,894","92,313",10.02,"292,322",2.70,11.63,
95,팬오션,"5,950",270,+4.75%,"1,000","31,807","534,570",16.85,"6,264,236",4.08,17.16,
96,TIGER 차이나전기차SOLACTIVE,"13,080",220,-1.65%,0,"31,690","242,280",0.80,"3,712,038",N/A,N/A,
97,삼성증권,"35,000",350,+1.01%,"5,000","31,255","89,300",27.29,"221,567",5.62,16.94,
98,호텔신라,"79,600",900,+1.14%,"5,000","31,242","39,248",19.59,"403,811",65.62,4.51,
99,KODEX KOFR금리액티브(합성),"101,500",25,+0.02%,0,"31,226","30,765",2.02,"20,781",N/A,N/A,
100,GS리테일,"29,800",150,+0.51%,"1,000","31,206","104,718",7.43,"130,944",34.57,25.58,
101,쌍용C&E,"6,040",110,+1.85%,100,"30,433","503,860",2.64,"394,111",46.11,11.12,
102,현대로템,"27,600",200,-0.72%,"5,000","30,123","109,142",8.04,"2,584,840",27.46,5.01,
103,아모레G,"35,950","3,250",+9.94%,500,"29,644","82,458",11.13,"1,362,043",92.89,5.49,
104,현대차2우B,"79,500",100,-0.13%,"5,000","29,006","36,485",59.62,"51,533",3.55,N/A,
105,씨에스윈드,"68,500","1,800",-2.56%,500,"28,887","42,171",11.44,"235,670",229.87,10.13,
106,현대오토에버,"104,000",500,+0.48%,500,"28,521","27,424",2.05,"32,924",31.74,7.26,
107,포스코인터내셔널,"23,000",300,+1.32%,"5,000","28,376","123,375",8.71,"351,544",4.96,10.86,
108,이마트,"100,000","2,700",+2.77%,"5,000","27,876","27,876",28.62,"193,478",3.01,16.25,
109,제일기획,"23,750",150,+0.64%,200,"27,322","115,041",32.82,"253,385",13.86,15.58,
110,일진머티리얼즈,"58,300","1,000",-1.69%,500,"26,883","46,111",9.74,"229,219",48.22,7.85,
111,동원산업,"53,700","1,000",+1.90%,"1,000","26,841","49,983",2.53,"88,320",4.88,12.59,
112,현대해상,"29,300",500,+1.74%,500,"26,194","89,400",34.87,"441,571",4.81,8.82,
113,한진칼,"38,300","1,100",+2.96%,"2,500","25,570","66,762",16.61,"167,474",2.70,1.11,
114,롯데쇼핑,"90,100","1,900",+2.15%,"5,000","25,488","28,289",12.76,"86,749",-4.91,-2.94,
115,KODEX 200선물인버스2X,"3,095",80,-2.52%,0,"24,435","789,500",4.47,"140,986,020",N/A,N/A,
116,에스원,"64,200","1,300",+2.07%,500,"24,395","37,999",53.72,"62,612",19.16,9.13,
117,BNK금융지주,"7,320",160,+2.23%,"5,000","23,858","325,935",35.44,"1,797,135",2.94,8.76,
118,키움증권,"90,200","2,600",+2.97%,"5,000","23,650","26,220",25.35,"41,047",4.67,25.38,
119,CJ,"80,800","3,500",+4.53%,"5,000","23,575","29,177",17.81,"75,927",8.21,5.66,
120,한미사이언스,"33,900","2,300",+7.28%,500,"23,263","68,624",1.89,"204,764",45.87,6.37,
121,한솔케미칼,"202,000","1,500",+0.75%,"5,000","22,897","11,335",39.72,"29,765",16.03,23.88,
122,신세계,"228,000","5,000",+2.24%,"5,000","22,447","9,845",26.98,"81,466",7.55,8.54,
123,LG화학우,"289,000","13,000",-4.30%,"5,000","22,221","7,689",69.54,"22,630",10.17,N/A,
124,OCI,"92,800","1,300",-1.38%,"5,000","22,132","23,849",12.90,"203,052",2.75,23.93,
125,한화생명,"2,520",110,+4.56%,"5,000","21,887","868,530",7.22,"1,940,049",2.04,10.79,
126,두산퓨얼셀,"33,100","1,500",+4.75%,100,"21,678","65,494",15.15,"358,506",662.00,1.69,
127,LS,"67,200",0,0.00%,"5,000","21,638","32,200",13.94,"71,221",5.40,8.15,
128,HL만도,"45,900",250,-0.54%,"1,000","21,553","46,957",23.93,"176,763",10.17,9.31,
129,TIGER MSCI Korea TR,"12,865",135,+1.06%,0,"21,510","167,200",0.00,776,N/A,N/A,
130,한전기술,"56,200",100,+0.18%,200,"21,480","38,220",1.82,"150,038",105.84,3.25,
131,동서,"21,000",400,+1.94%,500,"20,937","99,700",3.10,"59,637",18.92,8.05,
132,영원무역,"47,200",500,+1.07%,500,"20,915","44,311",29.92,"116,176",3.68,14.71,
133,한화,"27,750",200,+0.73%,"5,000","20,801","74,959",17.98,"122,231",2.00,20.22,
134,TIGER 미국나스닥100,"67,990",230,+0.34%,0,"20,717","30,470",0.66,"78,334",N/A,N/A,
135,CJ대한통운,"90,700","4,000",+4.61%,"5,000","20,691","22,812",17.50,"123,631",10.26,1.59,
136,한화시스템,"10,950",250,+2.34%,"5,000","20,687","188,919",4.01,"276,997",-228.12,6.04,
137,KCC,"232,000",500,+0.22%,"5,000","20,617","8,886",13.53,"20,625",-7.45,-0.92,
138,서울가스,"410,000","1,000",+0.24%,"5,000","20,500","5,000",3.45,"9,084",97.11,0.80,
139,농심,"337,000","7,000",+2.12%,"5,000","20,498","6,083",15.09,"24,599",17.63,4.73,
140,대한전선,"1,630",15,+0.93%,100,"20,285","1,244,473",1.87,"5,406,461",62.69,7.78,
141,휠라홀딩스,"33,200",200,+0.61%,"1,000","20,170","60,752",42.59,"191,421",9.37,16.20,
142,GS건설,"23,450",900,+3.99%,"5,000","20,069","85,581",30.26,"968,198",4.01,9.32,
143,KODEX 200TR,"10,455",125,+1.21%,0,"19,870","190,050",0.08,"263,489",N/A,N/A,
144,대우조선해양,"18,500",300,+1.65%,"5,000","19,849","107,291",2.57,"147,491",-1.16,-55.86,
145,대우건설,"4,670",55,+1.19%,"5,000","19,410","415,623",12.37,"577,449",3.87,16.47,
146,현대차우,"79,500",0,0.00%,"5,000","19,364","24,357",57.32,"17,204",3.55,N/A,
147,KODEX 레버리지,"14,350",335,+2.39%,0,"18,971","132,200",1.23,"32,937,720",N/A,N/A,
148,DB하이텍,"42,200",150,-0.35%,"5,000","18,736","44,399",25.60,"372,614",3.09,33.35,
149,하이트진로,"26,650",650,+2.50%,"5,000","18,691","70,134",13.29,"200,588",16.45,6.62,
150,대웅제약,"159,500",0,0.00%,"2,500","18,481","11,587",8.01,"54,012",22.46,4.39,
151,LIG넥스원,"84,000","3,300",-3.78%,"5,000","18,480","22,000",14.05,"374,928",10.07,14.63,
152,오뚜기,"454,000","5,000",+1.11%,"5,000","18,196","4,008",11.06,"3,131",11.68,8.91,
153,대성홀딩스,"113,000","2,000",+1.80%,"1,000","18,181","16,089",4.59,"61,925",113.68,3.61,
154,TIGER 200,"31,240",330,+1.07%,0,"18,104","57,950",3.58,"553,400",N/A,N/A,
155,TIGER 미국S&P500,"12,965",45,-0.35%,0,"17,652","136,150",0.74,"735,956",N/A,N/A,
156,코스모신소재,"55,600","3,300",-5.60%,"1,000","17,042","30,651",7.74,"1,273,759",59.53,9.42,
157,LS ELECTRIC,"55,100","1,000",+1.85%,"5,000","16,530","30,000",12.36,"131,883",16.85,5.86,
158,JB금융지주,"8,330",50,+0.60%,"5,000","16,409","196,983",27.08,"509,511",2.82,12.80,
159,효성첨단소재,"365,500","4,000",+1.11%,"5,000","16,374","4,480",6.62,"22,570",9.04,54.69,
160,금양,"27,800",950,-3.30%,500,"16,138","58,050",1.99,"1,878,493",91.75,13.57,
161,효성,"75,600","1,200",+1.61%,"5,000","15,930","21,071",5.05,"26,493",13.70,18.04,
162,현대두산인프라코어,"7,940",320,-3.87%,"1,000","15,702","197,763",10.63,"4,227,088",3.41,24.63,
163,KODEX 종합채권(AA-이상)액티브,"101,255",130,+0.13%,0,"15,700","15,505",0.00,"24,323",N/A,N/A,
164,롯데정밀화학,"60,400",200,-0.33%,"5,000","15,583","25,800",20.19,"48,229",5.07,30.43,
165,롯데칠성,"167,000","4,500",+2.77%,500,"15,496","9,279",13.17,"39,089",14.09,9.96,
166,삼천리,"382,000","2,000",+0.53%,"5,000","15,490","4,055",12.88,"34,798",19.49,4.52,
167,녹십자,"131,500","2,000",+1.54%,"5,000","15,368","11,687",22.21,"30,430",14.16,10.30,
168,효성티앤씨,"354,000","1,500",-0.42%,"5,000","15,320","4,328",8.81,"17,200",10.07,76.22,
169,현대위아,"56,200",200,+0.36%,"5,000","15,284","27,195",10.15,"92,295",7.46,1.96,
170,한전KPS,"33,850",450,+1.35%,200,"15,232","45,000",5.62,"78,978",23.23,9.12,
171,DL이앤씨,"39,100",600,+1.56%,"5,000","15,129","38,694",22.76,"96,032",3.48,N/A,
172,LX인터내셔널,"38,950",250,-0.64%,"5,000","15,097","38,760",31.43,"201,937",2.55,22.49,
173,TIGER 미국필라델피아반도체나스닥,"9,650",180,+1.90%,0,"14,919","154,600",0.56,"694,210",N/A,N/A,
174,쌍용차,"8,760",0,0.00%,"5,000","14,625","166,956",27.55,0,-2.47,305.77,
175,SK케미칼,"84,300",600,+0.72%,"5,000","14,545","17,254",15.02,"77,005",7.91,11.19,
176,현대백화점,"61,300","1,700",+2.85%,"5,000","14,346","23,402",23.84,"62,514",6.83,4.36,
177,현대일렉트릭,"39,350",0,0.00%,"5,000","14,185","36,047",14.39,"221,394",28.89,-5.08,
178,두산,"84,000",200,-0.24%,"5,000","13,880","16,524",6.59,"117,224",-16.97,11.08,
179,DL,"65,100","1,100",-1.66%,"5,000","13,642","20,956",10.56,"45,185",36.76,26.52,
180,LX세미콘,"83,800","1,100",+1.33%,500,"13,629","16,264",29.33,"85,051",4.71,44.49,
181,동원시스템즈,"46,900","1,500",-3.10%,"5,000","13,597","28,991",13.26,"22,763",29.06,6.95,
182,TIGER 단기통안채,"101,885",10,+0.01%,0,"13,573","13,322",0.93,"468,152",N/A,N/A,
183,DGB금융지주,"7,860",190,+2.48%,"5,000","13,295","169,146",44.33,"1,154,550",2.77,9.63,
184,TIGER 미국테크TOP10 INDXX,"9,095",15,+0.17%,0,"13,247","145,650",0.17,"379,948",N/A,N/A,
185,한국앤컴퍼니,"13,850",100,+0.73%,500,"13,149","94,935",9.10,"42,072",5.49,5.53,
186,영풍,"703,000",0,0.00%,"5,000","12,950","1,842",4.66,"5,041",5.77,3.66,
187,동국제강,"13,450",200,+1.51%,"5,000","12,836","95,433",24.56,"216,445",1.75,23.41,
188,한미반도체,"12,900",500,+4.03%,100,"12,761","98,920",4.80,"413,489",10.22,34.59,
189,코오롱인더,"45,200",700,+1.57%,"5,000","12,439","27,519",17.98,"106,194",8.27,8.20,
190,대웅,"21,250",50,-0.23%,500,"12,355","58,142",4.52,"38,138",9.90,11.13,
191,현대엘리베이,"30,200",300,+1.00%,"5,000","12,326","40,815",29.18,"154,175",8.60,10.62,
192,에스엘,"25,900",0,0.00%,500,"12,030","46,449",14.53,"116,138",9.74,6.63,
193,솔루스첨단소재,"34,100",500,-1.45%,100,"11,973","35,111",4.88,"137,300",-775.00,4.00,
194,신풍제약,"22,500",650,+2.97%,500,"11,922","52,985",4.76,"292,799",-41.59,-3.19,
195,일진하이솔루스,"32,550",50,+0.15%,500,"11,820","36,313",1.54,"55,464",130.20,4.97,
196,TIGER 2차전지테마,"18,655",685,-3.54%,0,"11,790","63,200",0.10,"1,418,546",N/A,N/A,
197,KODEX 단기채권PLUS,"104,685",30,+0.03%,0,"11,733","11,208",0.02,"1,128",N/A,N/A,
198,더존비즈온,"38,350",500,+1.32%,500,"11,652","30,383",23.29,"107,787",32.04,12.10,
199,현대건설기계,"58,900","1,300",-2.16%,"5,000","11,604","19,701",16.92,"203,763",11.64,8.92,
200,후성,"12,350",250,-1.98%,500,"11,437","92,607",5.38,"863,247",16.06,9.61,
